date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:57	68940/68940	---MCZ	200	added ('OK')	font/otf	etag:W/%225fd79f31-10d4c%22	http://srinivasan.design/fonts/CircularStd-Book.otf	C:/My%20Web%20Sites/Portfolio/srinivasan.design/fonts/CircularStd-Book.otf	(from http://srinivasan.design/style.css)
15:35:59	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f73c4a6-247b%22	http://srinivasan.design/favi.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/favi.1b.delayed	(from http://srinivasan.design/about.html)
15:36:00	10582/10582	---MCZ	200	added ('OK')	text/css	etag:W/%225fd79f31-2956%22	http://srinivasan.design/style-3.css	C:/My%20Web%20Sites/Portfolio/srinivasan.design/style-3.css	(from http://srinivasan.design/about.html)
15:36:01	17756/17756	---MCZ	200	added ('OK')	text/html	etag:W/%225fd79f31-455c%22	http://srinivasan.design/index.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/index-2.html	(from http://srinivasan.design/about.html)
15:36:47	1612296/1612296	---M--	200	added ('OK')	image/jpeg	etag:%225fd79f31-189a08%22	http://srinivasan.design/images/zeta.jpg	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/zeta.jpg	(from http://srinivasan.design/)
15:36:48	11282/11282	---MCZ	200	added ('OK')	text/css	etag:W/%225fd79f31-2c12%22	http://srinivasan.design/style-2.css	C:/My%20Web%20Sites/Portfolio/srinivasan.design/style-2.css	(from http://srinivasan.design/Google.html)
15:36:49	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	http://srinivasan.design/About.html	C:/My%20Web%20Sites/Portfolio/srinivasan.design/About.20.delayed	(from http://srinivasan.design/Google.html)
15:36:52	1095607/1095607	---M--	200	added ('OK')	image/png	etag:%225fd79f31-10b7b7%22	http://srinivasan.design/images/Accudrive.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Accudrive.png	(from http://srinivasan.design/)
15:37:03	379562/379562	---M--	200	added ('OK')	image/png	etag:%225fd79f31-5caaa%22	http://srinivasan.design/images/My%20pic%202.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/My%20pic%202.png	(from http://srinivasan.design/about.html)
15:37:20	282766/282766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd79f31-4508e%22	http://srinivasan.design/jquery.js	C:/My%20Web%20Sites/Portfolio/srinivasan.design/jquery.js	(from http://srinivasan.design/Zoho%20Sheet.html)
15:37:23	48973/48973	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd79f31-bf4d%22	http://srinivasan.design/jquery.cycle2.js	C:/My%20Web%20Sites/Portfolio/srinivasan.design/jquery.cycle2.js	(from http://srinivasan.design/Zoho%20Sheet.html)
15:37:34	258738/258738	---M--	200	added ('OK')	image/png	etag:%225fd79f31-3f2b2%22	http://srinivasan.design/images/process.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/process.png	(from http://srinivasan.design/Google.html)
15:37:41	327597/327597	---M--	200	added ('OK')	image/png	etag:%225fd79f31-4ffad%22	http://srinivasan.design/images/Google.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Google.png	(from http://srinivasan.design/Google.html)
15:37:54	122559/122559	---M--	200	added ('OK')	image/png	etag:%225fd79f31-1debf%22	http://srinivasan.design/images/case2/MVP.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/MVP.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:37:54	1420098/1420098	---M--	200	added ('OK')	image/jpeg	etag:%225fd79f31-15ab42%22	http://srinivasan.design/images/Experiment.jpg	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/Experiment.jpg	(from http://srinivasan.design/)
15:38:06	166926/166926	---M--	200	added ('OK')	image/png	etag:%225fd79f31-28c0e%22	http://srinivasan.design/images/case2/Process.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Process.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:38:18	188380/188380	---M--	200	added ('OK')	image/png	etag:%225fd79f31-2dfdc%22	http://srinivasan.design/images/case2/mobileusers.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/mobileusers.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:39:08	790873/790873	---M--	200	added ('OK')	image/png	etag:%225fd79f31-c1159%22	http://srinivasan.design/images/case2/head.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/head.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:39:09	509059/509059	---M--	200	added ('OK')	image/png	etag:%225fd79f31-7c483%22	http://srinivasan.design/images/case2/Detailed.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Detailed.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:39:10	410055/410055	---M--	200	added ('OK')	image/png	etag:%225fd79f31-641c7%22	http://srinivasan.design/images/case2/User%20Flow.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/User%20Flow.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:39:33	200779/200779	---M--	200	added ('OK')	image/png	etag:%225fd79f31-3104b%22	http://srinivasan.design/images/case2/User%20Flow%202.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/User%20Flow%202.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:40:14	294958/294958	---M--	200	added ('OK')	image/png	etag:%225fd79f31-4802e%22	http://srinivasan.design/images/case2/style.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/style.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:41:38	513755/513755	---M--	200	added ('OK')	image/png	etag:%225fd79f31-7d6db%22	http://srinivasan.design/images/case2/View.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/View.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:41:53	715415/715415	---M--	200	added ('OK')	image/png	etag:%225fd79f31-aea97%22	http://srinivasan.design/images/case2/DesignSys1.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/DesignSys1.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:43:30	1693286/1693286	---M--	200	added ('OK')	image/png	etag:%225fd79f31-19d666%22	http://srinivasan.design/images/case2/lo-fi.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/lo-fi.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:43:55	843396/843396	---M--	200	added ('OK')	image/png	etag:%225fd79f31-cde84%22	http://srinivasan.design/images/case2/Format.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Format.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:43:57	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5fd425-247b%22	http://srinivasan.design/{{src}}	C:/My%20Web%20Sites/Portfolio/srinivasan.design/{{src}}.35.delayed	(from http://srinivasan.design/Zoho%20Sheet.html)
15:45:40	802152/802152	---M--	200	added ('OK')	image/png	etag:%225fd79f31-c3d68%22	http://srinivasan.design/images/case2/Formula.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Formula.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:46:17	1627858/1627858	---M--	200	added ('OK')	image/png	etag:%225fd79f31-18d6d2%22	http://srinivasan.design/images/case2/Share.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Share.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:46:45	1033506/1033506	---M--	200	added ('OK')	image/png	etag:%225fd79f31-fc522%22	http://srinivasan.design/images/case2/slider1.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/slider1.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:48:28	630329/630329	---M--	200	added ('OK')	image/png	etag:%225fd79f31-99e39%22	http://srinivasan.design/images/case2/slider2.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/slider2.png	(from http://srinivasan.design/Zoho%20Sheet.html)
15:48:40	1113713/1113713	---M--	200	added ('OK')	image/png	etag:%225fd79f31-10fe71%22	http://srinivasan.design/images/case2/slider3.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/slider3.png	(from http://srinivasan.design/Zoho%20Sheet.html)
